Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
1660 trowville ln,Hayward,Alameda-County,Ca,94545,799000.0,48.0,66.0,3.0,2.0,1119.0,Single family residential,1956.0,Coming soon
2172 rapallo cmn,Livermore,Alameda-County,Ca,94551,1100000.0,54.0,74.0,4.0,2.5,2061.0,Single family residential,2003.0,New
3411 vittoria loop,Dublin,Alameda-County,Ca,94568,1545000.0,28.0,54.0,3.0,3.0,1966.0,Single family residential,2014.0,New
4822 la habra,Union city,Alameda-County,Ca,94587,1345000.0,20.0,58.0,3.0,2.0,1388.0,Single family residential,1980.0,New
2608 64th ave,Oakland,Alameda-County,Ca,94605,649000.0,86.0,62.0,2.0,1.0,1026.0,Single family residential,1945.0,New
5583 hemlock ter,Fremont,Alameda-County,Ca,94538,645000.0,61.0,45.0,2.0,1.5,1006.0,Townhouse,1970.0,New
1374 delaware st,Berkeley,Alameda-County,Ca,94702,1118000.0,89.0,99.0,2.0,1.0,1118.0,Single family residential,1947.0,New
4053 harlan st #104,Emeryville,Alameda-County,Ca,94608,649000.0,88.0,95.0,1.0,1.0,976.0,Condo,1917.0,New
27374 whitman st,Hayward,Alameda-County,Ca,94544,875000.0,59.0,65.0,4.0,3.0,1335.0,Single family residential,1950.0,New
818 las flores rd,Livermore,Alameda-County,Ca,94551,899000.0,58.0,56.0,3.0,2.5,1741.0,Townhouse,2016.0,New
4859 roberts ct,Castro valley,Alameda-County,Ca,94552,1999000.0,40.0,33.0,5.0,4.0,2865.0,Single family residential,2019.0,New
6165 robertson ave,Newark,Alameda-County,Ca,94560,2350000.0,0.0,0.0,4.0,3.5,2456.0,Single family residential,2022.0,Active
4429 brannigan st,Dublin,Alameda-County,Ca,94568,839998.0,69.0,75.0,2.0,2.0,1420.0,Condo,2004.0,New
396 38th st,Oakland,Alameda-County,Ca,94609,1388000.0,93.0,99.0,5.0,4.0,3025.0,Multi-family (5+ unit),1954.0,New
31964 olean st,Hayward,Alameda-County,Ca,94544,875000.0,53.0,52.0,4.0,1.5,1317.0,Single family home,1951.0,Active
6489 sherwood pl,Dublin,Alameda-County,Ca,94568,824000.0,7.0,61.0,2.0,2.5,1346.0,Townhouse,1990.0,New
801 franklin streeet #1201,Oakland,Alameda-County,Ca,94607-4252,618000.0,100.0,84.0,2.0,1.5,1120.0,Condo,1976.0,New
11880 pollardstown ct,Dublin,Alameda-County,Ca,94568,749000.0,79.0,76.0,2.0,2.0,963.0,Condo,1990.0,Active
962 glen dr,San leandro,Alameda-County,Ca,94577,929000.0,64.0,65.0,2.0,1.5,1827.0,Single family residential,1936.0,New
601 palomino unit a,Pleasanton,Alameda-County,Ca,94566,700000.0,52.0,60.0,2.0,2.0,1198.0,Townhouse,1985.0,New
3581 ronald ct,Fremont,Alameda-County,Ca,94538,1680000.0,69.0,64.0,5.0,3.0,2411.0,Single family residential,1957.0,New
1764 de pina ln,Hayward,Alameda-County,Ca,94545,1098000.0,41.0,44.0,4.0,2.5,2086.0,Single family residential,2018.0,Pending
3668 ferry ln,Fremont,Alameda-County,Ca,94555,1628000.0,64.0,60.0,4.0,2.5,2120.0,Single family residential,1997.0,New
24548 margaret dr,Hayward,Alameda-County,Ca,94542-1018,659000.0,77.0,41.0,2.0,1.0,768.0,Single family residential,1952.0,New
1740 150th ave,San leandro,Alameda-County,Ca,94578,699000.0,73.0,51.0,3.0,2.5,1480.0,Condo,1977.0,New
1324 104th ave,Oakland,Alameda-County,Ca,94603,539000.0,81.0,69.0,2.0,2.0,933.0,Single family residential,1940.0,New
96 orchard cir,Hayward,Alameda-County,Ca,94544,815000.0,66.0,51.0,3.0,2.5,1891.0,Single family residential,2015.0,New
2452 64th ave,Oakland,Alameda-County,Ca,94605,550000.0,80.0,60.0,2.0,1.0,925.0,Single family residential,1925.0,New
14838 juniper st,San leandro,Alameda-County,Ca,94579,848800.0,49.0,62.0,3.0,1.0,1076.0,Single family residential,1953.0,New
16150 via media,San lorenzo,Alameda-County,Ca,94580-2304,800000.0,62.0,59.0,4.0,1.0,1216.0,Single family residential,1944.0,New
1942 17th ave,Oakland,Alameda-County,Ca,94606,749000.0,85.0,71.0,3.0,2.0,1384.0,Single family residential,1926.0,New
1629 tacoma ave,Berkeley,Alameda-County,Ca,94707,1095000.0,96.0,80.0,3.0,2.0,1250.0,Single family residential,1915.0,New
3937 forest cir,Castro valley,Alameda-County,Ca,94546-4594,848000.0,53.0,50.0,3.0,3.5,1551.0,Townhouse,2009.0,New
5837 scarborough dr,Oakland,Alameda-County,Ca,94611,1095000.0,13.0,24.0,3.0,2.0,1694.0,Single family residential,1968.0,New
6363 christie ave #1026,Emeryville,Alameda-County,Ca,94608,999000.0,75.0,91.0,2.0,2.0,1369.0,Condo,1984.0,New
5823 kingsley cir,Oakland,Alameda-County,Ca,94605,399000.0,77.0,62.0,2.0,1.0,714.0,Single family residential,1924.0,New
6760 poplar way,Dublin,Alameda-County,Ca,94568,999000.0,57.0,80.0,3.0,2.0,1270.0,Single family residential,1967.0,New
724 e 21st st,Oakland,Alameda-County,Ca,94606,699999.0,86.0,69.0,2.0,2.0,1381.0,Single family residential,1910.0,New
34841 begonia st,Union city,Alameda-County,Ca,94587,1298000.0,43.0,66.0,3.0,2.0,1392.0,Single family home,1972.0,Active
1756 de pina ln,Hayward,Alameda-County,Ca,94545,1108000.0,49.0,44.0,4.0,2.5,2094.0,Single family home,2018.0,Active
2228 windlass,San leandro,Alameda-County,Ca,94577-5450,650000.0,68.0,72.0,2.0,1.5,1062.0,Townhouse,1978.0,New
1519 willow st,Alameda,Alameda-County,Ca,94501,1195000.0,90.0,77.0,4.0,2.0,1880.0,Multi-family (2-4 unit),1912.0,New
6363 christie ave #526,Emeryville,Alameda-County,Ca,94608,799000.0,75.0,91.0,2.0,2.0,1369.0,Condo,1984.0,New
16001 via alamitos,San lorenzo,Alameda-County,Ca,94580,758000.0,61.0,53.0,2.0,1.0,1037.0,Single family residential,1947.0,New
3641 dimond ave,Oakland,Alameda-County,Ca,94602,1095000.0,85.0,75.0,4.0,3.0,2654.0,Single family residential,1901.0,New
1555 lakeside dr #61,Oakland,Alameda-County,Ca,94612,939000.0,95.0,90.0,2.0,2.0,1324.0,Condo,1968.0,New
2821 bartlett st,Oakland,Alameda-County,Ca,94602,499000.0,73.0,62.0,3.0,1.0,1032.0,Single family home,1923.0,Active
2808 morcom ave,Oakland,Alameda-County,Ca,94619,849000.0,64.0,48.0,3.0,3.0,1613.0,Single family residential,1926.0,New
1820 melvin rd,Oakland,Alameda-County,Ca,94602,1689000.0,33.0,22.0,4.0,3.5,3012.0,Single family residential,1935.0,New
1359 excelsior ave,Oakland,Alameda-County,Ca,94602,799000.0,78.0,67.0,2.0,2.0,1065.0,Single family residential,1905.0,New
317 capricorn ave,Oakland,Alameda-County,Ca,94611,1295000.0,37.0,32.0,4.0,3.0,2111.0,Single family residential,1952.0,New
45128 warm springs blvd #421,Fremont,Alameda-County,Ca,94539,1055000.0,30.0,62.0,2.0,2.0,1301.0,Condo,2019.0,New
3630 victor ave,Oakland,Alameda-County,Ca,94619,1225000.0,60.0,35.0,4.0,2.0,2792.0,Single family residential,1930.0,New
6363 christie ave #512,Emeryville,Alameda-County,Ca,94608,448000.0,75.0,91.0,1.0,1.0,768.0,Condo,1984.0,New
1522 18th ave,Oakland,Alameda-County,Ca,94606,780000.0,91.0,92.0,5.0,3.0,2638.0,Single family residential,1905.0,Active
280 caldecott ln #120,Oakland,Alameda-County,Ca,94618,499000.0,3.0,29.0,1.0,1.0,773.0,Condo,1996.0,Active
39224 guardino dr #115,Fremont,Alameda-County,Ca,94538,459000.0,35.0,58.0,1.0,1.0,693.0,Condo,1990.0,Active
816 grunion ter,Fremont,Alameda-County,Ca,94536,1300000.0,43.0,66.0,3.0,2.5,1643.0,Single family residential,1995.0,New
4269 knoll ave,Oakland,Alameda-County,Ca,94619,649000.0,39.0,21.0,2.0,1.0,848.0,Single family residential,1920.0,New
37332 duckling ter #38,Fremont,Alameda-County,Ca,94536,999000.0,86.0,55.0,3.0,3.0,1436.0,Townhouse,2017.0,Active
1015 107th ave,Oakland,Alameda-County,Ca,94603,845000.0,74.0,70.0,4.0,3.0,2190.0,Single family residential,2021.0,New
6400 christie ave #5407,Emeryville,Alameda-County,Ca,94608,375000.0,66.0,92.0,0.0,1.0,565.0,Condo,1988.0,New
1555 lakeside dr #184,Oakland,Alameda-County,Ca,94612,769000.0,95.0,90.0,2.0,2.0,1387.0,Condo,1968.0,New
3401 manchester cmn,Fremont,Alameda-County,Ca,94536,1199000.0,85.0,71.0,3.0,2.5,1640.0,Townhouse,1976.0,Active
39109 guardino #231,Fremont,Alameda-County,Ca,94538,465000.0,53.0,64.0,1.0,1.0,693.0,Condo,1987.0,New
21100 gary dr #112,Hayward,Alameda-County,Ca,94546,629000.0,47.0,36.0,3.0,2.0,1232.0,Condo,1980.0,New
19164 garrison ave,Castro valley,Alameda-County,Ca,94546,875000.0,55.0,42.0,3.0,2.0,1405.0,Single family residential,1950.0,New
989 webster st #545,Oakland,Alameda-County,Ca,94607,278500.0,0.0,0.0,1.0,1.0,535.0,Condo,1993.0,New
425 orange #113,Oakland,Alameda-County,Ca,94611,409000.0,81.0,72.0,1.0,1.0,541.0,Condo,1966.0,New
201 4th st #301,Oakland,Alameda-County,Ca,94607,679000.0,97.0,85.0,1.0,1.5,1123.0,Condo,1928.0,New
3727 branding iron pl,Dublin,Alameda-County,Ca,94568,799000.0,3.0,17.0,2.0,2.5,1277.0,Townhouse,2007.0,New
31113 alvarado niles rd,Union city,Alameda-County,Ca,94587,605000.0,81.0,55.0,2.0,1.5,1129.0,Townhouse,1984.0,New
26394 underwood ave,Hayward,Alameda-County,Ca,94544,789000.0,50.0,51.0,3.0,1.5,1046.0,Single family home,1952.0,Active
27490 mangrove rd,Hayward,Alameda-County,Ca,94544,1199999.0,57.0,65.0,6.0,3.0,2529.0,Single family residential,2000.0,New
2921 76th ave,Oakland,Alameda-County,Ca,94605,828000.0,70.0,46.0,3.0,3.0,2113.0,Single family residential,1928.0,New
486 kent ct,Livermore,Alameda-County,Ca,94551,1499000.0,43.0,72.0,4.0,3.0,2143.0,Single family residential,1967.0,New
725 dana cir,Livermore,Alameda-County,Ca,94550,1399900.0,23.0,55.0,3.0,2.5,2064.0,Single family residential,1989.0,New
815 central ave,Alameda,Alameda-County,Ca,94501,1490000.0,91.0,87.0,4.0,4.0,2847.0,Multi-family (2-4 unit),1947.0,New
1250 gusty loop #5,Livermore,Alameda-County,Ca,94550,999000.0,25.0,50.0,4.0,3.5,2154.0,Condo,2017.0,New
39872 duran ct,Fremont,Alameda-County,Ca,94538,1290000.0,49.0,55.0,4.0,2.0,1427.0,Single family home,1962.0,Active
1226 russell st,Berkeley,Alameda-County,Ca,94702,1229990.0,89.0,92.0,5.0,3.0,1850.0,Triplex,1918.0,Active
36134 mangrove ln,Newark,Alameda-County,Ca,94560,1468000.0,40.0,42.0,3.0,2.5,1708.0,Single family residential,2017.0,New
1100 76th ave,Oakland,Alameda-County,Ca,94621,599000.0,72.0,70.0,4.0,2.0,1386.0,Multi-family (2-4 unit),1939.0,Active
4966 boone dr,Fremont,Alameda-County,Ca,94538,1390000.0,51.0,62.0,3.0,2.0,1468.0,Single family residential,1960.0,New
2200 mountain blvd,Oakland,Alameda-County,Ca,94611,1695000.0,78.0,51.0,6.0,4.0,3600.0,Multi-family (2-4 unit),1948.0,Active
40237 davis ct,Fremont,Alameda-County,Ca,94538,1150000.0,59.0,48.0,3.0,2.0,1144.0,Single family residential,1959.0,Active
19024 mayberry dr,Castro valley,Alameda-County,Ca,94546-3051,1100000.0,47.0,33.0,3.0,2.0,1654.0,Single family residential,1950.0,New
327 el caminito,Livermore,Alameda-County,Ca,94550-5310,949000.0,20.0,65.0,3.0,2.0,1136.0,Single family residential,1964.0,New
2119 19th ave,Oakland,Alameda-County,Ca,94606,788000.0,78.0,63.0,3.0,2.0,1217.0,Single family residential,1907.0,Active
2880 patcham cmn,Livermore,Alameda-County,Ca,94550,979888.0,85.0,77.0,3.0,3.5,1802.0,Single family residential,2015.0,New
Undisclosed address,Oakland,Alameda-County,Ca,94609,1675000.0,90.0,99.0,7.0,3.5,2358.0,Multi-family (2-4 unit),1908.0,New
5562 metropolitan way,Dublin,Alameda-County,Ca,94568,1589000.0,3.0,69.0,4.0,3.5,2584.0,Single family home,2018.0,Active
4329 edgewood ave,Oakland,Alameda-County,Ca,94602,1199000.0,84.0,46.0,4.0,2.0,2343.0,Single family residential,1921.0,New
45249 electric ter #301,Fremont,Alameda-County,Ca,94539,1445000.0,15.0,60.0,3.0,2.5,1847.0,Condo,2019.0,New
34973 silverlock ct,Fremont,Alameda-County,Ca,94555,1999000.0,42.0,57.0,5.0,3.0,2355.0,Single family residential,1997.0,New
7620 holly st,Oakland,Alameda-County,Ca,94621,529000.0,77.0,69.0,2.0,1.0,1212.0,Single family residential,1928.0,New
5612 adeline st,Oakland,Alameda-County,Ca,94608,725000.0,89.0,99.0,2.0,1.5,798.0,Single family residential,1915.0,New
39945 parada st unit b,Newark,Alameda-County,Ca,94560,669950.0,59.0,55.0,2.0,2.0,1216.0,Condo,1984.0,New
2928 park place cmn,Fremont,Alameda-County,Ca,94536,1450000.0,51.0,69.0,3.0,2.5,1550.0,Single family residential,1984.0,New
930 joaquin ave,San leandro,Alameda-County,Ca,94577,679975.0,61.0,72.0,3.0,2.0,1516.0,Single family residential,1957.0,New
4671 stauffer pl,Oakland,Alameda-County,Ca,94619,899000.0,51.0,27.0,3.0,3.5,2037.0,Single family residential,1951.0,New
28573 coleridge ave,Hayward,Alameda-County,Ca,94544,850000.0,66.0,61.0,3.0,2.0,1256.0,Single family residential,1957.0,New
37960 canyon heights dr,Fremont,Alameda-County,Ca,94536,999000.0,5.0,11.0,4.0,2.0,1014.0,Single family residential,1959.0,New
19807 san miguel ave #1,Castro valley,Alameda-County,Ca,94546,575000.0,55.0,57.0,2.0,1.5,1000.0,Condo,1964.0,New
12000 glenora way,Sunol,Alameda-County,Ca,94586,1249000.0,0.0,5.0,3.0,2.0,1928.0,Single family residential,1928.0,New
1233 broadway unit a,Alameda,Alameda-County,Ca,94501,848000.0,89.0,82.0,3.0,2.0,1268.0,Condo,1971.0,New
5750 kingsley cir,Oakland,Alameda-County,Ca,94605,449000.0,80.0,61.0,2.0,1.0,817.0,Single family residential,1924.0,New
12 ironstone cmn,Livermore,Alameda-County,Ca,94550,1198000.0,16.0,61.0,3.0,3.0,1933.0,Single family home,2004.0,Active
2960 greenville rd,Livermore,Alameda-County,Ca,94550,1850000.0,0.0,1.0,3.0,2.0,1572.0,Single family residential,1954.0,New
3169 fairfax ct,Fremont,Alameda-County,Ca,94536,1799900.0,26.0,64.0,4.0,2.0,2285.0,Single family residential,1972.0,New
9526 burr,Oakland,Alameda-County,Ca,94605,679000.0,66.0,41.0,2.0,2.0,1403.0,Single family residential,1925.0,New
14784 midland rd,San leandro,Alameda-County,Ca,94578,949000.0,27.0,9.0,3.0,2.0,2136.0,Single family home,1987.0,Active
3157 san minete dr,Livermore,Alameda-County,Ca,94550,1998000.0,7.0,59.0,4.0,4.0,3687.0,Single family residential,2004.0,New
4117 clarinbridge cir,Dublin,Alameda-County,Ca,94568,799888.0,70.0,73.0,2.0,2.0,1347.0,Condo,2004.0,New
466 37th #6,Oakland,Alameda-County,Ca,94609,399000.0,87.0,98.0,1.0,1.0,509.0,Condo,1961.0,New
22962 princeton pl,Castro valley,Alameda-County,Ca,94552,1475000.0,2.0,1.0,4.0,3.0,2278.0,Single family residential,1999.0,New
5615 hilton st,Oakland,Alameda-County,Ca,94605,649000.0,83.0,59.0,3.0,2.0,1580.0,Single family residential,1923.0,Price change
22070 lucia st,Hayward,Alameda-County,Ca,94541,789888.0,74.0,60.0,3.0,1.0,1040.0,Single family home,1950.0,Active
31278 san andreas dr,Union city,Alameda-County,Ca,94587,1388888.0,64.0,55.0,4.0,2.0,1675.0,Single family residential,1969.0,New
1601 65th ave,Oakland,Alameda-County,Ca,94621,325000.0,83.0,56.0,2.0,1.0,696.0,Single family residential,1925.0,New
1380 d st,Hayward,Alameda-County,Ca,94541,899999.0,82.0,55.0,4.0,2.0,1788.0,Multi-family (2-4 unit),1920.0,New
9645 thermal st,Oakland,Alameda-County,Ca,94605,518000.0,68.0,47.0,2.0,1.0,850.0,Condo,1924.0,New
9643 thermal st,Oakland,Alameda-County,Ca,94605,530000.0,68.0,47.0,2.0,1.0,810.0,Condo,1924.0,New
45158 tom blalock unit 202 b4,Fremont,Alameda-County,Ca,94539,1589195.0,25.0,62.0,3.0,3.0,2281.0,Condo,2023.0,New
23264 ida ln,Hayward,Alameda-County,Ca,94541,799999.0,60.0,60.0,4.0,2.0,1458.0,Multi-family (2-4 unit),1959.0,New
7430 wells ave,Newark,Alameda-County,Ca,94560,895000.0,56.0,48.0,3.0,1.0,1015.0,Single family home,1959.0,Active
444 c st,Hayward,Alameda-County,Ca,94541,899999.0,77.0,72.0,4.0,2.0,1685.0,Multi-family (2-4 unit),1948.0,New
4245 masterson st,Oakland,Alameda-County,Ca,94619,650000.0,88.0,61.0,2.0,1.0,1131.0,Single family residential,1918.0,New
8 el carmello cir,Oakland,Alameda-County,Ca,94619,1195000.0,60.0,32.0,3.0,2.0,2006.0,Single family residential,1938.0,New
5 ambler ln,Oakland,Alameda-County,Ca,94608,569000.0,75.0,94.0,1.0,1.0,965.0,Townhouse,2005.0,New
24853 joanne st,Hayward,Alameda-County,Ca,94544-2043,779000.0,58.0,59.0,3.0,2.0,1480.0,Single family residential,1950.0,New
5421 fleming ave,Oakland,Alameda-County,Ca,94619,789000.0,68.0,55.0,2.0,1.0,1170.0,Single family residential,1923.0,Active
8111 locust pl s,Dublin,Alameda-County,Ca,94568,998000.0,28.0,65.0,4.0,2.5,1664.0,Single family residential,1984.0,New
1026 fountain st,Alameda,Alameda-County,Ca,94501,1195000.0,70.0,84.0,3.0,2.0,1960.0,Single family residential,1937.0,New
1138 bordeaux st,Pleasanton,Alameda-County,Ca,94566,1695000.0,31.0,28.0,4.0,2.0,1973.0,Single family residential,1977.0,New
29 sylvan way,Piedmont,Alameda-County,Ca,94610,2400000.0,85.0,57.0,4.0,2.5,3237.0,Single family residential,1940.0,New
1515 14th ave #305,Oakland,Alameda-County,Ca,94606,349000.0,93.0,92.0,2.0,1.0,673.0,Condo,2004.0,New
969 dana cir,Livermore,Alameda-County,Ca,94550,1499000.0,38.0,61.0,4.0,3.0,2472.0,Single family residential,1992.0,New
1935 oakview dr,Oakland,Alameda-County,Ca,94602,1125000.0,56.0,26.0,3.0,2.0,1940.0,Single family residential,1955.0,New
2065 sarasota ln,Hayward,Alameda-County,Ca,94545,788000.0,69.0,71.0,3.0,2.0,1119.0,Single family residential,1956.0,New
8091 iglesia dr,Dublin,Alameda-County,Ca,94568,2100000.0,25.0,42.0,4.0,2.5,2584.0,Single family residential,1988.0,New
22803 paseo pl,Hayward,Alameda-County,Ca,94541,745000.0,90.0,65.0,2.0,2.0,1700.0,Condo,2004.0,New
36435 reina pl,Newark,Alameda-County,Ca,94560,1400000.0,55.0,51.0,4.0,2.0,1602.0,Single family residential,1961.0,Active
45158 tom blalock unit 109 b4,Fremont,Alameda-County,Ca,94539,1480195.0,25.0,62.0,3.0,3.0,1886.0,Condo,2023.0,New
3894 highpointe ct,Dublin,Alameda-County,Ca,94568,2299888.0,5.0,23.0,4.0,4.5,3135.0,Single family residential,2015.0,New
18921 patton dr,Castro valley,Alameda-County,Ca,94546,749950.0,53.0,40.0,2.0,1.0,860.0,Single family residential,1949.0,New
8610 beverly ln,Dublin,Alameda-County,Ca,94568,1250000.0,37.0,63.0,6.0,3.0,2562.0,Multi-family (2-4 unit),1968.0,New
2454 hibiscus dr,Hayward,Alameda-County,Ca,94545,1288888.0,35.0,49.0,4.0,2.5,2577.0,Single family residential,1976.0,Price change
34709 woodhue ter,Fremont,Alameda-County,Ca,94555,885000.0,40.0,45.0,2.0,2.5,1110.0,Townhouse,1988.0,New
33229 4th st,Union city,Alameda-County,Ca,94587,1165000.0,58.0,47.0,4.0,2.0,2038.0,Single family residential,2006.0,Active
60 panoramic way,Berkeley,Alameda-County,Ca,94704,1695000.0,70.0,49.0,6.0,3.5,3022.0,Single family residential,1906.0,New
5313 tacoma cmn,Fremont,Alameda-County,Ca,94555,745000.0,37.0,45.0,2.0,2.0,950.0,Condo,1989.0,Active
887 59th st,Oakland,Alameda-County,Ca,94608,1298000.0,91.0,100.0,6.0,4.0,3361.0,Multi-family (2-4 unit),1924.0,New
1604 via barrett,San lorenzo,Alameda-County,Ca,94580,888000.0,62.0,68.0,3.0,2.0,1471.0,Single family residential,1955.0,New
5882 caleb ct,Newark,Alameda-County,Ca,94560,1975000.0,71.0,53.0,4.0,3.5,2442.0,Single family residential,2022.0,New
4315 whittle ave,Oakland,Alameda-County,Ca,94602,899000.0,43.0,19.0,2.0,1.0,1130.0,Single family residential,1950.0,New
3068 roxbury ave,Oakland,Alameda-County,Ca,94605,998000.0,52.0,35.0,3.0,2.0,1748.0,Single family residential,1941.0,New
23207 ernest ct,Hayward,Alameda-County,Ca,94541,1098000.0,11.0,6.0,4.0,2.5,2276.0,Single family residential,1983.0,New
152 sonia way,Livermore,Alameda-County,Ca,94550,1649000.0,10.0,47.0,5.0,4.5,3260.0,Single family residential,2015.0,New
4037 ardley ave,Oakland,Alameda-County,Ca,94602,1450000.0,88.0,65.0,6.0,4.0,3058.0,Multi-family (2-4 unit),1906.0,New
5376 greenridge rd,Castro valley,Alameda-County,Ca,94552,1900000.0,16.0,11.0,4.0,2.0,1834.0,Single family residential,1960.0,New
6945 village ct,Livermore,Alameda-County,Ca,94551,1099000.0,17.0,54.0,4.0,2.0,1694.0,Single family residential,1995.0,New
45158 tom blalock unit 104 b4,Fremont,Alameda-County,Ca,94539,1404195.0,25.0,62.0,2.0,2.0,1688.0,Condo,2023.0,New
438 w grand ave #405,Oakland,Alameda-County,Ca,94612,999000.0,98.0,96.0,3.0,3.0,2074.0,Condo,2008.0,New
38044 salty cove rd,Newark,Alameda-County,Ca,94560,1389000.0,25.0,35.0,3.0,2.5,1942.0,Single family residential,2019.0,New
1292 62nd,Oakland,Alameda-County,Ca,94621,360000.0,80.0,58.0,2.0,1.0,654.0,Single family residential,1922.0,New
4500 mackinaw st,Union city,Alameda-County,Ca,94587,1899888.0,32.0,42.0,5.0,3.0,2730.0,Single family residential,1997.0,New
2811 regatta dr,Oakland,Alameda-County,Ca,94601,899000.0,85.0,89.0,3.0,2.5,1993.0,Townhouse,2005.0,New
1292 79th ave,Oakland,Alameda-County,Ca,94621,397500.0,81.0,67.0,3.0,1.0,835.0,Single family residential,1924.0,New
30 chimney rock,Oakland,Alameda-County,Ca,94605,875000.0,7.0,9.0,3.0,2.5,1636.0,Townhouse,1977.0,New
555 pierce st #738,Albany,Alameda-County,Ca,94706,420000.0,65.0,70.0,1.0,1.0,745.0,Condo,1977.0,New
260 caldecott ln #220,Oakland,Alameda-County,Ca,94618,475000.0,3.0,29.0,1.0,1.0,773.0,Condo,1997.0,New
94 bayo vista ave #204,Oakland,Alameda-County,Ca,94611,499000.0,93.0,68.0,1.0,1.0,772.0,Condo,1966.0,New
1931 magellan dr,Oakland,Alameda-County,Ca,94611,979000.0,79.0,49.0,3.0,2.0,1762.0,Single family residential,1938.0,New
6450 raymond st,Oakland,Alameda-County,Ca,94609,1195000.0,91.0,100.0,3.0,2.0,1470.0,Single family residential,1921.0,New
1351 fairview ct,Livermore,Alameda-County,Ca,94550,1275000.0,54.0,77.0,4.0,2.5,1928.0,Single family residential,1965.0,Pending
33325 9th st,Union city,Alameda-County,Ca,94587,799888.0,48.0,51.0,2.0,1.0,720.0,Single family home,1952.0,Active
6690 outlook ave,Oakland,Alameda-County,Ca,94605,899000.0,53.0,26.0,4.0,2.5,1861.0,Single family residential,1993.0,New
1865 marcus ct,Hayward,Alameda-County,Ca,94541-6833,699000.0,18.0,12.0,3.0,2.5,1620.0,Townhouse,1981.0,New
4101 howe st #102,Oakland,Alameda-County,Ca,94611,725000.0,99.0,82.0,2.0,2.0,1097.0,Condo,1966.0,New
36951 newark blvd unit c,Newark,Alameda-County,Ca,94560,835000.0,79.0,50.0,3.0,2.5,1383.0,Townhouse,1987.0,Active
47 evirel pl,Oakland,Alameda-County,Ca,94611,895000.0,12.0,11.0,2.0,2.0,1260.0,Single family residential,1955.0,New
5457 gracen way,Dublin,Alameda-County,Ca,94568,1498000.0,3.0,71.0,5.0,4.0,2758.0,Condo,2020.0,New
21866 prospect st,Hayward,Alameda-County,Ca,94541,900000.0,71.0,45.0,2.0,2.0,1468.0,Single family residential,1932.0,New
3987 dobbins loop,Dublin,Alameda-County,Ca,94568,1259000.0,14.0,28.0,4.0,3.5,2123.0,Townhouse,2017.0,New
4876 reinhardt dr,Oakland,Alameda-County,Ca,94619,849000.0,32.0,33.0,4.0,2.0,1638.0,Single family residential,1954.0,New
17552 walnut rd,Castro valley,Alameda-County,Ca,94546,1479000.0,25.0,13.0,4.0,3.0,2665.0,Single family residential,1952.0,New
2776 sea view pkwy,Alameda,Alameda-County,Ca,94502,1095000.0,19.0,66.0,2.0,2.0,1695.0,Townhouse,1984.0,New
5752 barley rd,Dublin,Alameda-County,Ca,94568,1399900.0,41.0,90.0,5.0,4.0,2691.0,Single family residential,2018.0,New
457 swallow ct,Livermore,Alameda-County,Ca,94551,995000.0,31.0,65.0,3.0,2.0,1382.0,Single family residential,1970.0,New
3097 bolero ct,Pleasanton,Alameda-County,Ca,94588,879000.0,47.0,72.0,2.0,2.0,1302.0,Townhouse,1994.0,New
3832 fiano cmn,Fremont,Alameda-County,Ca,94555,1388000.0,71.0,60.0,3.0,3.5,1868.0,Single family home,2016.0,Active
911 dolores ave,San leandro,Alameda-County,Ca,94577,799000.0,62.0,73.0,3.0,1.0,1343.0,Single family residential,1946.0,New
1559 calle santiago,Pleasanton,Alameda-County,Ca,94566,999800.0,42.0,74.0,3.0,2.0,1224.0,Townhouse,1971.0,New
3618 woodbine way,Pleasanton,Alameda-County,Ca,94588,739900.0,70.0,67.0,3.0,1.5,1291.0,Townhouse,1979.0,New
6125 joaquin murieta ave unit a,Newark,Alameda-County,Ca,94560,599000.0,79.0,57.0,2.0,1.5,1132.0,Townhouse,1981.0,New
77 shaniko cmn #20,Fremont,Alameda-County,Ca,94539,849000.0,78.0,68.0,3.0,2.0,1170.0,Condo,1987.0,New
2036 25th ave,Oakland,Alameda-County,Ca,94601,769000.0,84.0,70.0,3.0,1.5,1326.0,Single family residential,1913.0,New
2139 eric ct #2,Union city,Alameda-County,Ca,94587,589888.0,29.0,44.0,2.0,1.0,903.0,Condo,1974.0,Active
7514 halliday ave,Oakland,Alameda-County,Ca,94605,600000.0,83.0,71.0,2.0,1.0,824.0,Single family residential,1926.0,Active
29001 mayfair rd,Hayward,Alameda-County,Ca,94544,225000.0,53.0,57.0,2.0,2.0,1440.0,Mobile/manufactured home,1975.0,Active
592 jilliene way,Hayward,Alameda-County,Ca,94544,828800.0,64.0,35.0,3.0,2.0,1078.0,Single family residential,1955.0,Active
776 camden cmn,Livermore,Alameda-County,Ca,94551,874888.0,45.0,55.0,3.0,2.5,1843.0,Townhouse,2016.0,New
1541 151st ave,San leandro,Alameda-County,Ca,94578,699000.0,87.0,57.0,2.0,2.0,983.0,Single family residential,1947.0,New
860 genevieve pl,Pleasanton,Alameda-County,Ca,94566,1998000.0,27.0,21.0,3.0,2.0,2240.0,Single family residential,1997.0,New
